Q_learning_double_duel_recurrent_agent,action,bollinger_band_agent,bollinger_band_trend_agent,client_order_id,close_price,deep_evolution_agent,fuzzy_logic_agent,open_price,order_status,profit/loss,quantity,stoploss,symbol,takeprofit,timestamp
1.0,-1.0,0.0,-1.0,88d6801eb9a642c2adb63a0bec73fa3e,58561.91,-1.0,0.0,58177.845,closed,-0.0038406500000000236,1e-05,58280.661270630255,BTC/USDT,57972.2124587395,2021-04-09 23:41:32.922011
1.0,-1.0,0.0,-1.0,eb0f97ee095e4c3ea5af3a35e48a0e0d,58561.91,-1.0,0.0,58174.845,closed,-0.0038706500000000236,1e-05,58277.9396066025,BTC/USDT,57968.65578679501,2021-04-09 23:42:36.055570
1.0,-1.0,0.0,-1.0,e703c1e71e6d4a3b80741a871f223d0f,58561.91,-1.0,0.0,58187.76,closed,-0.0037415000000000148,1e-05,58290.56823968615,BTC/USDT,57982.143520627695,2021-04-09 23:43:39.237254
1.0,-1.0,0.0,-1.0,3bcc3051b7dc4d57a50706f86d8fc880,58561.91,-1.0,0.0,58185.875,closed,-0.003760350000000035,1e-05,58288.246168395606,BTC/USDT,57981.13266320879,2021-04-09 23:44:41.103737
1.0,1.0,0.0,-1.0,d3e533663a774d34be682dda9e2fa01a,58310.8,1.0,0.0,58183.47,closed,0.0012733000000000176,1e-05,58082.33538551464,BTC/USDT,58385.73922897073,2021-04-09 23:45:42.695553
1.0,1.0,0.0,-1.0,a9ffb75ff3d843e4908130b41f007790,,1.0,0.0,58229.155,canceled,,1e-05,58130.08450562592,BTC/USDT,58427.29598874815,2021-04-09 23:46:44.340196
1.0,1.0,0.0,-1.0,8bdcbcd823d548d986444dc9bf428809,,1.0,0.0,58235.265,canceled,,1e-05,58136.79027011836,BTC/USDT,58432.214459763265,2021-04-09 23:47:48.148734
1.0,1.0,0.0,-1.0,5567047438094c86a43b9f2727a20006,,1.0,0.0,58221.215,canceled,,1e-05,58121.91037077628,BTC/USDT,58419.824258447436,2021-04-09 23:48:52.149202
1.0,1.0,0.0,-1.0,7b555ae3f3c648858a748bc67f95c9e8,,1.0,0.0,58236.635,canceled,,1e-05,58137.77943719432,BTC/USDT,58434.34612561137,2021-04-09 23:49:54.867131
1.0,-1.0,0.0,-1.0,68d8c5d78ce941d2b6561ff0be3d85e0,58210.219999999994,-1.0,0.0,58262.425,closed,0.0005220500000000902,1e-05,58356.37008201322,BTC/USDT,58074.534835973565,2021-04-09 23:50:56.922403
1.0,-1.0,0.0,-1.0,57942394e6ae48788b04b7e3c07a4f57,58210.219999999994,-1.0,0.0,58258.345,closed,0.0004812500000000728,1e-05,58352.27697454035,BTC/USDT,58070.4810509193,2021-04-09 23:51:58.164473
1.0,-1.0,0.0,-1.0,36cabd28f35a43e689f72be30b412bab,,-1.0,0.0,58221.365000000005,canceled,,1e-05,58316.04558653203,BTC/USDT,58032.00382693594,2021-04-09 23:53:00.438908
1.0,-1.0,0.0,-1.0,f8628e5498c8420daab284b1f1a6b271,,-1.0,0.0,58216.42,canceled,,1e-05,58311.204319671146,BTC/USDT,58026.851360657696,2021-04-09 23:54:03.086704
1.0,-1.0,0.0,-1.0,77fa077222ff47048729391015ab46a3,,-1.0,0.0,58224.845,canceled,,1e-05,58319.45511122661,BTC/USDT,58035.62477754677,2021-04-09 23:55:05.334912
0.0,-1.0,0.0,-1.0,fcf81e27839344aaba41ed31d6decbad,,-1.0,0.0,58229.354999999996,canceled,,1e-05,58319.964542811,BTC/USDT,58048.135914377985,2021-04-09 23:56:07.503428
0.0,1.0,0.0,-1.0,4f3ff91961b24739b621ad457b5d272e,58192.59,1.0,0.0,58272.83500000001,closed,-0.000802450000000099,1e-05,58182.185880922814,BTC/USDT,58454.1332381544,2021-04-10 00:01:14.706238
0.0,1.0,0.0,-1.0,e4bc390d9d0b4d34b7b1833b35b8a1cb,,1.0,0.0,58192.595,closed,,1e-05,58100.485310420285,BTC/USDT,58376.814379159434,2021-04-10 00:02:17.512987
0.0,1.0,0.0,-1.0,a4f0a3054249470984e0c38fc6ff8da8,,1.0,0.0,58169.994999999995,open,,1e-05,58076.75860692051,BTC/USDT,58356.46778615896,2021-04-10 00:03:21.001572
0.0,1.0,0.0,-1.0,8640342ede3a4e81b0fb716b25ddd865,,1.0,0.0,58128.955,open,,1e-05,58032.929942673945,BTC/USDT,58321.00511465211,2021-04-10 00:04:23.874173
-1.0,-1.0,0.0,-1.0,504f1f7fe2ae40dcbeab179c6f84a179,,0.0,0.0,58148.65,,,1e-05,58247.45143094398,BTC/USDT,57951.04713811205,2021-04-10 00:06:27.561750
